learning_rate,max_depth,min_data_in_leaf,n_estimators,num_leaves,reg_alpha,reg_lambda,MAE_cv0,MAE_cv1,MAE_cv2,MAE_cv3,MAE_cv4,MAE,MAE_std
0.01,-1,5,200,5,0.1,0.5,0.5636240652491432,0.5347498018872634,0.5270929222570404,0.5846609534556266,0.5331112656265864,0.548647801695132,0.02459871312194512
0.01,-1,5,200,5,0.1,1.0,0.5657966389722072,0.5373126512027407,0.5261608293122056,0.5866805813889941,0.5389349746902156,0.5509771351132726,0.024707967097660054
0.01,-1,5,200,5,0.5,0.0,0.5687154620858679,0.5334059948184872,0.5293313728240995,0.5822025150886054,0.5333280178678643,0.549396672536985,0.024320560357935714
0.01,-1,5,200,5,0.5,0.1,0.56767596246224,0.5366588870142784,0.5285990965801302,0.5813770554186624,0.5366087630150077,0.5501839528980638,0.022978790510171574
0.01,-1,5,200,5,0.5,0.5,0.5672824741160891,0.5376152287272523,0.5273236956354478,0.583993834003571,0.5398961017958328,0.5512222668556387,0.023539759336789767
0.01,-1,5,200,5,0.5,1.0,0.5670012656637324,0.5370962766867623,0.5294642489249819,0.5837301778134628,0.5425719736538701,0.5519727885485619,0.022642367252390164
0.01,-1,5,200,5,1.0,0.0,0.5712485882973081,0.5352192275876736,0.5308198992118939,0.5838931133910963,0.5398358188672728,0.5522033294710489,0.02379931938956464
0.01,-1,5,200,5,1.0,0.1,0.5715770743071038,0.5369324240347009,0.5306255515422641,0.5841527145487045,0.5417761845546296,0.5530127897974806,0.02345397338411127
0.01,-1,5,200,5,1.0,0.5,0.5699049111503178,0.5372543696679312,0.5338062715545303,0.5834720453918559,0.543775083797118,0.5536425363123506,0.021872816873592296
0.01,-1,5,200,5,1.0,1.0,0.5709071373118242,0.5340490823358091,0.5353466337382548,0.5826531909364947,0.5418023950933748,0.5529516878831515,0.022339038729591254
0.01,-1,5,200,10,0.0,0.0,0.566100328332667,0.511214021755447,0.5207689833348356,0.577564252504903,0.5261145911509526,0.5403524354157611,0.02950825425237247
0.01,-1,5,200,10,0.0,0.1,0.5662470273819908,0.5095135330657499,0.5169045046532877,0.5751841316262956,0.5257736965657325,0.5387245786586112,0.029932884707057995
0.01,-1,5,200,10,0.0,0.5,0.5657538493947095,0.5160830960375302,0.5229696357960683,0.5774628968352556,0.5300768362530518,0.5424692628633231,0.027371353096397905
0.01,-1,5,200,10,0.0,1.0,0.5690354391839334,0.5256046112736308,0.5301933658483985,0.5810453640814215,0.5401752533917156,0.54921080675582,0.024530653473934357
0.01,-1,5,200,10,0.1,0.0,0.5614990465702397,0.519642411635366,0.5178030145902197,0.5755003429337946,0.528228748520148,0.5405347128499536,0.026299970006611367
0.01,-1,5,200,10,0.1,0.1,0.5629845059900227,0.5182797513215798,0.5228477689989892,0.5774010354787221,0.5274202948166896,0.5417866713212007,0.026624148868552928
0.01,-1,5,200,10,0.1,0.5,0.5688331949698547,0.5241870887380204,0.5241006221907022,0.5807512833432353,0.5300813305282185,0.5455907039540062,0.027096857540017824
0.01,-1,5,200,10,0.1,1.0,0.5667474569405779,0.529007348297031,0.5318012515146275,0.5851430070173458,0.54039964605325,0.5506197419645664,0.02438052769908496
0.01,-1,5,200,10,0.5,0.0,0.5637474965285626,0.524363231278828,0.5276758915837729,0.5851088736607468,0.531758692825515,0.5465308371754851,0.026691788210470187
0.01,-1,5,200,10,0.5,0.1,0.561489155760907,0.5276584363173382,0.5317262548743126,0.5887258210542283,0.5326329339935408,0.5484465204000654,0.026240777582148538
0.01,-1,5,200,10,0.5,0.5,0.5613227842471369,0.5317153826424136,0.5345799837635011,0.5853953888236468,0.5447526769396382,0.5515532432832673,0.022184536853100643
0.01,-1,5,200,10,0.5,1.0,0.5625558908963634,0.5296003819754664,0.5327964712769391,0.5820858131347804,0.5500729488988394,0.5514223012364777,0.02173215494548857
0.01,-1,5,200,10,1.0,0.0,0.5541880295737478,0.5290526252037618,0.5350262804652277,0.58171592693216,0.5391872927650172,0.5478340309879829,0.021094441977575228
0.01,-1,5,200,10,1.0,0.1,0.5539427087466853,0.529584953658357,0.5357117011180855,0.583117854404746,0.5427428883652089,0.5490200212586166,0.02110172215908865
0.01,-1,5,200,10,1.0,0.5,0.5521862684470057,0.5299949457905657,0.5345905680751137,0.5842750842506351,0.5517708602328878,0.5505635453592417,0.02132347289599789
0.01,-1,5,200,10,1.0,1.0,0.5648891749688734,0.535418179762689,0.532619353477825,0.5896275952640002,0.5497132386960563,0.5544535084338887,0.023492891147190848
0.01,-1,5,200,20,0.0,0.0,0.5881758088963658,0.5392608598791342,0.5387703612610122,0.6057430218071391,0.5408532054588229,0.5625606514604948,0.03201923174689372
0.01,-1,5,200,20,0.0,0.1,0.5882366256160655,0.5413624156082328,0.5398736477842575,0.6056551861680496,0.5482773975235027,0.5646810545400216,0.030257192147001073
0.01,-1,5,200,20,0.0,0.5,0.5909578325660904,0.5388471662537999,0.5421234690663104,0.6183162186609132,0.5454325880277053,0.5671354549149639,0.03565044669133972
0.01,-1,5,200,20,0.0,1.0,0.5840265550363938,0.5438774538771377,0.5493806764477893,0.6024704647085382,0.5446175891343086,0.5648745478408335,0.02679335144417581
0.01,-1,5,200,20,0.1,0.0,0.5808114323684892,0.5378346911201185,0.5449216559574179,0.5981183904576799,0.5483223189648019,0.5620016977737015,0.026082173268311942
0.01,-1,5,200,20,0.1,0.1,0.5811590539458374,0.5404438336226646,0.5400778817799543,0.6081624861173092,0.5431569429828556,0.5626000396897243,0.030808085823272238
0.01,-1,5,200,20,0.1,0.5,0.5896975295653699,0.5412679779014622,0.5474141662895711,0.611654460042492,0.5497041795181997,0.5679476626634189,0.03102255460544006
0.01,-1,5,200,20,0.1,1.0,0.5823513710427027,0.5469330401814636,0.5428835741682372,0.5988631833643083,0.5432055679840995,0.5628473473481623,0.026053619196673882
0.01,-1,5,200,20,0.5,0.0,0.5915302780775139,0.5510519130082345,0.5414992173811978,0.5937626801459068,0.5462222861516334,0.5648132749528972,0.025643768953817387
0.01,-1,5,200,20,0.5,0.1,0.595828463592757,0.5501186044650725,0.5398123730862814,0.5946222093878268,0.5517182887021204,0.5664199878468116,0.026692995179880996
0.01,-1,5,200,20,0.5,0.5,0.5968188991245078,0.5542830936405112,0.535793034080302,0.5899136809660168,0.5500511171036617,0.5653719649829998,0.02656976708135616
0.01,-1,5,200,20,0.5,1.0,0.5957616890626334,0.5566785549984036,0.5388210809594818,0.5891518177733636,0.5564982328592764,0.5673822751306317,0.024125079975584825
0.01,-1,5,200,20,1.0,0.0,0.587383111374957,0.5417772967731368,0.5437814730358366,0.5914393200503891,0.5459021309291276,0.5620566664326894,0.025054808380071625
0.01,-1,5,200,20,1.0,0.1,0.5845809689116191,0.5405380524468004,0.540074558150528,0.5959976417911246,0.5452483211238607,0.5612879084847866,0.026856858392946378
0.01,-1,5,200,20,1.0,0.5,0.5908365599167364,0.5461683106211703,0.5408368308585113,0.5946659597290357,0.5540675915718881,0.5653150505394684,0.025520136816951786
0.01,-1,5,200,20,1.0,1.0,0.5882104846690821,0.549285274725293,0.5390461350657202,0.6084186933277425,0.5609381049679932,0.5691797385511662,0.028607748704761418
0.01,-1,5,200,30,0.0,0.0,0.5887489504348454,0.541616990983677,0.5420024954554109,0.6209843252373511,0.5458023558100805,0.5678310235842731,0.03571548583858021
0.01,-1,5,200,30,0.0,0.1,0.5867711904990738,0.545467830305876,0.5411430812830509,0.6191815575071387,0.5462798317772269,0.5677686982744732,0.034177479357345365
0.01,-1,5,200,30,0.0,0.5,0.5827280842491296,0.5463036100113472,0.5494261526832607,0.6275292617767535,0.5501128129359196,0.5712199843312821,0.03480115149537747
0.01,-1,5,200,30,0.0,1.0,0.5861839436436592,0.5455560995186965,0.5490432214190657,0.6066981237478504,0.549604872462807,0.5674172521584157,0.02751350328882247
0.01,-1,5,200,30,0.1,0.0,0.5804777225706594,0.541907427086055,0.5531580629522601,0.6179337251252327,0.546449387552296,0.5679852650573006,0.031680450333406336
0.01,-1,5,200,30,0.1,0.1,0.5807612356344052,0.5441717153654793,0.5518550195615672,0.6172015504552711,0.5465532657292951,0.5681085573492035,0.03111266916984308
0.01,-1,5,200,30,0.1,0.5,0.5860858053259147,0.5468244114589647,0.551625226175861,0.6125274325808878,0.5428919347535792,0.5679909620590415,0.03023550027029473
0.01,-1,5,200,30,0.1,1.0,0.5822322973738523,0.5437939402309442,0.5432104469633008,0.5939590753979692,0.5455460713450841,0.5617483662622302,0.024421565487502933
0.01,-1,5,200,30,0.5,0.0,0.5901776664826373,0.5512342418218903,0.540785656823598,0.5937785167754385,0.5464459451883394,0.5644844054183806,0.025401142651852282
0.01,-1,5,200,30,0.5,0.1,0.5948956423291004,0.5508799239679989,0.5400987550451075,0.5951844214236377,0.5508557493415912,0.5663828984214871,0.02652732110895034
0.01,-1,5,200,30,0.5,0.5,0.5960708996556903,0.5544655466716972,0.5352623112021105,0.5893141481250657,0.5493423972157356,0.5648910605740599,0.02644326300017218
0.01,-1,5,200,30,0.5,1.0,0.5952203152149549,0.5570995141534363,0.5391035990707114,0.5887317102108807,0.5564204086407486,0.5673151094581463,0.023750334249239596
0.01,-1,5,200,30,1.0,0.0,0.587383111374957,0.5417772967731368,0.5439393380709827,0.5907485978109857,0.5459021309291276,0.5619500949918379,0.024824677190051585
0.01,-1,5,200,30,1.0,0.1,0.5845809689116191,0.5405380524468004,0.540074558150528,0.5959976417911246,0.5450892428818073,0.5612560928363759,0.026880693417330445
0.01,-1,5,200,30,1.0,0.5,0.5908365599167364,0.5461683106211703,0.5408368308585113,0.5946592617414954,0.5540675915718881,0.5653137109419604,0.02551821106810824
0.01,-1,5,200,30,1.0,1.0,0.588208442984155,0.5492849686806514,0.5390461350657202,0.6084186933277425,0.5609381049679932,0.5691792690052524,0.0286074623769393
0.01,-1,5,200,40,0.0,0.0,0.5887489504348454,0.541616990983677,0.5420024954554109,0.6209843252373511,0.5458023558100805,0.5678310235842731,0.03571548583858021
0.01,-1,5,200,40,0.0,0.1,0.5867711904990738,0.545467830305876,0.5411430812830509,0.6191815575071387,0.5462798317772269,0.5677686982744732,0.034177479357345365
0.01,-1,5,200,40,0.0,0.5,0.5827280842491296,0.5463036100113472,0.5494261526832607,0.6275292617767535,0.5501128129359196,0.5712199843312821,0.03480115149537747
0.01,-1,5,200,40,0.0,1.0,0.5861839436436592,0.5455560995186965,0.5490432214190657,0.6066981237478504,0.549604872462807,0.5674172521584157,0.02751350328882247
0.01,-1,5,200,40,0.1,0.0,0.5804777225706594,0.541907427086055,0.5531580629522601,0.6179337251252327,0.546449387552296,0.5679852650573006,0.031680450333406336
0.01,-1,5,200,40,0.1,0.1,0.5807612356344052,0.5441717153654793,0.5518550195615672,0.6172015504552711,0.5465532657292951,0.5681085573492035,0.03111266916984308
0.01,-1,5,200,40,0.1,0.5,0.5860858053259147,0.5468244114589647,0.551625226175861,0.6125274325808878,0.5428919347535792,0.5679909620590415,0.03023550027029473
0.01,-1,5,200,40,0.1,1.0,0.5822322973738523,0.5437939402309442,0.5432104469633008,0.5939590753979692,0.5455460713450841,0.5617483662622302,0.024421565487502933
0.01,-1,5,200,40,0.5,0.0,0.5901776664826373,0.5512342418218903,0.540785656823598,0.5937785167754385,0.5464459451883394,0.5644844054183806,0.025401142651852282
0.01,-1,5,200,40,0.5,0.1,0.5948956423291004,0.5508799239679989,0.5400987550451075,0.5951844214236377,0.5508557493415912,0.5663828984214871,0.02652732110895034
0.01,-1,5,200,40,0.5,0.5,0.5960708996556903,0.5544655466716972,0.5352623112021105,0.5893141481250657,0.5493423972157356,0.5648910605740599,0.02644326300017218
0.01,-1,5,200,40,0.5,1.0,0.5952203152149549,0.5570995141534363,0.5391035990707114,0.5887317102108807,0.5564204086407486,0.5673151094581463,0.023750334249239596
0.01,-1,5,200,40,1.0,0.0,0.587383111374957,0.5417772967731368,0.5439393380709827,0.5907485978109857,0.5459021309291276,0.5619500949918379,0.024824677190051585
0.01,-1,5,200,40,1.0,0.1,0.5845809689116191,0.5405380524468004,0.540074558150528,0.5959976417911246,0.5450892428818073,0.5612560928363759,0.026880693417330445
0.01,-1,5,200,40,1.0,0.5,0.5908365599167364,0.5461683106211703,0.5408368308585113,0.5946592617414954,0.5540675915718881,0.5653137109419604,0.02551821106810824
0.01,-1,5,200,40,1.0,1.0,0.588208442984155,0.5492849686806514,0.5390461350657202,0.6084186933277425,0.5609381049679932,0.5691792690052524,0.0286074623769393
0.01,-1,5,300,5,0.0,0.0,0.5409438014814597,0.5000678245543706,0.5038362035239805,0.5642930139095264,0.49457227856585007,0.5207426244070374,0.03042566925509162
0.01,-1,5,300,5,0.0,0.1,0.5429805905537302,0.50034038918809,0.5033783558036247,0.5647368505270773,0.49414036645174564,0.5211153105048536,0.031043412143262127
0.01,-1,5,300,5,0.0,0.5,0.5440152309964668,0.5044848800497979,0.5059913128363643,0.5636964388143442,0.5013087275522305,0.5238993180498408,0.02826841261653557
0.01,-1,5,300,5,0.0,1.0,0.5434062620774447,0.508590597916449,0.5052653134922911,0.5674266336179334,0.5075753351091938,0.5264528284426625,0.02779658902747324
0.01,-1,5,300,5,0.1,0.0,0.5451191612756102,0.5024007197036722,0.5046224498116527,0.564408897602221,0.49563940258592065,0.5224381261958154,0.03046737015158908
